N17T18,N27T28,N29T30,N31T32,N53T54,N91T92,N95T96,N115T116,N117T118,N135T136,N137T138,N179T180,N189T190,N215T216,N13T14,N145T146,N15T16,N21T22,N23T24,N25T26,N33T34,N35T36,N37T38,N39T40,N41T42,N45T46,N55T56,N59T60,N63T64,N65T66,N67T68,N87T88,N111T112,N119T120,N123T124,N131T132,N139T140,N143T144,N147T148,N149T150,N155T156,N161T162,N163T164,N165T166,N167T168,N169T170,N173T174,N181T182,N195T196,N211T212,N219T220,N221T222,N235T236,N201T202,N191T192,N225T226,N193T194,N199T200,N203T204,N217T218,N209T210,N213T214,N231T232,N257T258,N2397T2398,N5263T5264,N247T248,N249T250,N253T254,N89T90,N265T266,N269T270,N267T268,N271T272,N43T44,N61T62,N5357T5358,N5373T5374,N5381T5382,N5759T5760
0.32848684587067056,0.10114691310693219,-0.09905255403710381,0.1636224136163208,0.0,-0.10960407384182626,-0.3181511049149396,-0.2956297959134716,-0.00959586807786256,0.0,0.0,0.024629931423276342,-0.08994505644219734,0.20885418103755893,0.0,0.04193465504282251,-0.16108852820227035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21523650151172877,0.0,0.0,0.0,0.0,-0.7689244204003745,-0.6617713228674238,0.0,-0.19686944205712825,-0.02639466065566566,0.0,-0.5367457301864185,0.0,0.0,0.0,0.0,-0.04315196464849565,0.0,-0.2739360501291869,-0.4933549721023198,-0.3937867298069433,0.13749309249349692,0.0,0.0,0.15163857263772512,0.0,-0.25385127759129666,0.0,0.0,0.007364470682947437,0.059524386809821035,0.0,0.0,0.0,0.0,0.0,0.0,-0.23414944874252777,-0.5906923096888456,0.0,0.0,0.0,-0.3667042064282817,0.0,-0.14380478753867637,-0.34199591631263293,-1.0,0.0,0.0,-0.4562453442671481,-0.09282076562587979,-0.17865774859046882,-0.4235266662892721,0.18589726559633948,-0.12651834914277915
0.0,0.10114691310693219,0.03203166757332493,0.10077054641387873,0.0,-0.3181511049149396,0.04193465504282251,-0.23414944874252777,0.16059308010249987,0.0,0.3147108275275552,-0.16108852820227035,0.0,0.009577626210795595,-0.23234760641031893,0.0,0.0,0.0,0.0,-0.07616392770215681,0.0,-0.4235266662892721,0.0,0.13749309249349692,0.0,-0.2956297959134716,0.2173831745363812,0.0,0.0,-1.0,0.0,-0.04315196464849565,0.0,-0.25385127759129666,-0.059523058987138035,0.0,-0.14380478753867637,-0.00959586807786256,-0.4562453442671481,0.0,0.0,-0.34199591631263293,-0.09282076562587979,0.09665050141588814,0.0,-0.4933549721023198,-0.02639466065566566,0.0,0.11659860157580289,0.0,0.0,-0.10960407384182626,-0.6617713228674238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2739360501291869,0.0,-0.5367457301864185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3937867298069433,-0.19686944205712825,-0.12651834914277915,-0.21523650151172877,-0.3667042064282817,-0.5906923096888456,-0.7689244204003745
-0.32524301684624113,0.0,0.0,0.0,-0.179832661705736,0.059524386809821035,0.0,0.0,-0.04315196464849565,0.13749309249349692,0.0,0.11659860157580289,0.0,0.20885418103755893,0.0,-0.09282076562587979,0.0,0.0,0.0,0.07777433153603487,0.0,0.0,0.0,-0.00959586807786256,0.0,0.0,0.0,-0.3667042064282817,0.0,-0.14380478753867637,0.0,-0.10960407384182626,-0.6980474490678006,-0.7689244204003745,-0.6617713228674238,0.0,0.0,0.0,-0.4235266662892721,0.0,0.2173831745363812,-0.059523058987138035,0.0,0.09665050141588814,0.0,-0.4562453442671481,0.0,0.0,-0.02639466065566566,0.0,0.0,0.0,0.04193465504282251,-0.12651834914277915,0.0,-0.3181511049149396,0.0,0.0,0.0,0.007364470682947437,0.0,0.0,-0.25385127759129666,-0.34199591631263293,0.18589726559633948,-0.5906923096888456,0.0,0.0,0.0,0.0,-0.16108852820227035,-1.0,-0.17865774859046882,-0.19686944205712825,-0.3937867298069433,0.024629931423276342,-0.2956297959134716,-0.23414944874252777,-0.2739360501291869,-0.4933549721023198
0.0,0.0,0.0,0.0,0.0,0.16059308010249987,0.13749309249349692,-0.3667042064282817,0.0,0.0,0.0,0.0,0.32848684587067056,0.2417627281229329,0.0,-0.23414944874252777,0.0,0.0,0.0,0.07777433153603487,0.04193465504282251,0.0,0.0,0.0,0.0,0.0,0.0,-0.4562453442671481,-0.21523650151172877,-0.4235266662892721,-0.7689244204003745,-0.16108852820227035,-0.034326729591865626,0.0,0.0,0.0,-0.5367457301864185,0.0,-0.19686944205712825,0.0,0.0,0.024629931423276342,0.0,0.0,-1.0,-0.5906923096888456,0.0,0.0,-0.25385127759129666,-0.3844718519403232,0.0,0.0,-0.059523058987138035,0.0,-0.3181511049149396,-0.04315196464849565,0.0,-0.17865774859046882,0.059524386809821035,0.0,0.0,-0.12651834914277915,-0.6617713228674238,-0.3937867298069433,0.0,0.0,-0.07616392770215681,-0.34199591631263293,0.11659860157580289,-0.09282076562587979,0.09665050141588814,0.007364470682947437,0.0,0.0,-0.4933549721023198,-0.14380478753867637,-0.00959586807786256,-0.2739360501291869,0.0,-0.10960407384182626
0.0,0.0,-0.012479598544764709,0.0,0.0,0.11659860157580289,0.0,-0.09282076562587979,0.0,0.13749309249349692,0.3147108275275552,0.0,0.0,0.03203166757332493,0.0,-0.02639466065566566,0.09665050141588814,0.007364470682947437,0.0,0.07777433153603487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25385127759129666,-0.16108852820227035,-0.4933549721023198,-0.6617713228674238,0.0,-0.09905255403710381,-0.19686944205712825,0.16059308010249987,-0.2956297959134716,-0.2739360501291869,0.0,0.0,-0.10960407384182626,0.0,-0.17865774859046882,-0.04315196464849565,0.2173831745363812,-0.7689244204003745,-0.5367457301864185,-0.4235266662892721,0.0,0.0,0.0,-0.059523058987138035,0.0,0.0,-0.23414944874252777,-0.3181511049149396,0.0,0.0,-0.12651834914277915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059524386809821035,-0.3667042064282817,0.0,-0.21523650151172877,-0.14380478753867637,-1.0,0.0,0.0,-0.4562453442671481,-0.34199591631263293,0.04193465504282251,-0.3937867298069433,0.0,-0.5906923096888456
0.28090861476265766,0.0,0.07741253266325841,0.012467524229030108,0.0,0.0,0.0,-0.09282076562587979,0.0,0.0,0.0,0.0,0.0633672895663137,-0.18702070544696456,0.28271071742420545,0.0,-0.12651834914277915,0.0,0.0,-0.02639466065566566,-0.16108852820227035,0.16059308010249987,0.0,0.0,0.0,-0.21523650151172877,0.024629931423276342,0.0,0.0,-0.23414944874252777,0.0,0.07777433153603487,0.17881223283545225,-0.07616392770215681,0.11659860157580289,0.0,-0.17865774859046882,0.0,-0.19686944205712825,0.0,0.0,-0.2956297959134716,-0.7689244204003745,0.0,-0.4933549721023198,-0.4562453442671481,0.09665050141588814,0.0,0.0,-0.3301381395314741,-0.10960407384182626,-0.2739360501291869,-0.6617713228674238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059523058987138035,-0.5906923096888456,-0.04315196464849565,-0.4235266662892721,0.0,0.0,0.0,0.0,-0.3667042064282817,-0.3181511049149396,0.0,-0.3937867298069433,-0.34199591631263293,-0.00959586807786256,0.0,-1.0,0.0,-0.5367457301864185
0.0,0.03203166757332493,0.0,-0.1007682985046691,0.0,0.16059308010249987,0.13749309249349692,0.0,0.2173831745363812,-0.17865774859046882,0.0,0.18589726559633948,0.0,0.0545367710144872,0.0,0.09665050141588814,-0.10960407384182626,0.0,-0.02639466065566566,-0.2739360501291869,0.0,0.11659860157580289,0.07777433153603487,0.007364470682947437,-0.2956297959134716,0.0,0.0,0.0,-0.4562453442671481,0.0,-1.0,0.0,-0.5121267049912406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21523650151172877,0.0,0.0,-0.5906923096888456,0.0,-0.4933549721023198,-0.5367457301864185,0.0,0.0,0.0,-0.6617713228674238,0.0,-0.07616392770215681,-0.19686944205712825,-0.00959586807786256,-0.34199591631263293,-0.3181511049149396,-0.09282076562587979,-0.3667042064282817,-0.4235266662892721,-0.23414944874252777,0.0,0.0,-0.04315196464849565,-0.12651834914277915,-0.14380478753867637,0.059524386809821035,-0.7689244204003745,-0.25385127759129666,0.0,0.0,-0.16108852820227035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.07741080580604362,0.3147108275275552,0.0,0.024629931423276342,0.0,0.0,0.0,0.13749309249349692,-0.15713894375021453,0.0,0.0633672895663137,0.0,-0.14254206386728627,0.0,0.0,0.0,-0.2956297959134716,0.0,0.0,0.0,-0.5906923096888456,0.0,0.0,0.0,0.0,0.0,0.0,0.007364470682947437,0.0,-0.3181511049149396,0.0,0.0,-0.3937867298069433,-0.14380478753867637,-0.02639466065566566,-0.17865774859046882,0.0,0.0,0.0,0.11659860157580289,-0.3667042064282817,-0.00959586807786256,-0.7689244204003745,0.0,-0.34199591631263293,0.16059308010249987,0.0,0.07741253266325841,-0.5367457301864185,0.0,-1.0,0.0,0.0,-0.4562453442671481,-0.04315196464849565,-0.23414944874252777,-0.12651834914277915,-0.21523650151172877,0.0,0.0,-0.2739360501291869,0.0,0.0,0.0,0.09665050141588814,0.07777433153603487,-0.07616392770215681,-0.16108852820227035,0.0,0.0,0.0,0.0,-0.4235266662892721,-0.19686944205712825,-0.25385127759129666,-0.6617713228674238,0.2173831745363812,-0.4933549721023198
0.0,0.0,0.0,0.0,0.14054460214121536,0.0,-0.09282076562587979,0.0,0.07777433153603487,0.0,-0.42975212886217523,0.0,0.0,0.0,0.15163857263772512,0.09665050141588814,0.0,0.0,0.0,0.18589726559633948,0.0,0.0,0.0,-0.2739360501291869,0.0,0.0,-0.3181511049149396,0.13749309249349692,-0.02639466065566566,-0.5906923096888456,0.2173831745363812,-0.14380478753867637,0.03203166757332493,0.0,-0.059523058987138035,-0.04315196464849565,0.0,-0.21523650151172877,-0.10960407384182626,0.0,-0.5367457301864185,-0.23414944874252777,0.0,0.0,0.0,0.0,-0.07616392770215681,-0.6617713228674238,-0.4235266662892721,-0.16453938226711773,-1.0,-0.34199591631263293,-0.16108852820227035,0.04193465504282251,-0.3667042064282817,0.16059308010249987,0.0,0.0,-0.2956297959134716,-0.19686944205712825,-0.17865774859046882,-0.3937867298069433,0.0,0.0,0.0,0.0,0.007364470682947437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4933549721023198,-0.7689244204003745,-0.4562453442671481,-0.00959586807786256,0.0,0.0
0.0,0.009577626210795595,0.0,-0.1007682985046691,0.0,0.0,-0.07616392770215681,-0.34199591631263293,0.11659860157580289,-0.02639466065566566,0.0,0.18589726559633948,0.24267156123758532,0.17881223283545225,0.0545367710144872,-0.10960407384182626,0.059524386809821035,0.0,-0.17865774859046882,0.0,0.0,0.0,0.0,0.0,0.0,-0.2956297959134716,0.0,-0.3667042064282817,-0.12651834914277915,-1.0,0.0,-0.14380478753867637,-0.6416169899317709,-0.2739360501291869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25385127759129666,0.2173831745363812,0.024629931423276342,-0.7689244204003745,-0.4562453442671481,-0.4235266662892721,-0.00959586807786256,0.0,0.0,0.0,0.0,0.0,-0.16108852820227035,-0.04315196464849565,-0.3181511049149396,0.0,0.0,0.0,-0.23414944874252777,0.0,0.0,-0.5367457301864185,0.0,0.0,0.0,-0.21523650151172877,-0.3937867298069433,0.0,0.0,0.0,0.09665050141588814,0.07777433153603487,0.0,-0.6617713228674238,-0.5906923096888456,-0.19686944205712825,0.0,-0.09282076562587979,0.0
0.20776526232316306,0.2417627281229329,0.0,0.0,0.0,-0.23414944874252777,-0.4933549721023198,0.0,0.024629931423276342,0.0,0.0,0.2173831745363812,0.17619168064065796,0.0,0.0,0.0,-0.07616392770215681,0.0,0.0,0.0,0.0,-0.059523058987138035,-0.6617713228674238,0.0,0.0,0.09665050141588814,0.0,0.0,0.0,-0.3937867298069433,-0.10960407384182626,0.059524386809821035,-0.7682059432853953,-0.14380478753867637,0.0,0.0,-0.04315196464849565,0.0,-0.19686944205712825,-0.25385127759129666,-0.5367457301864185,0.0,-0.02639466065566566,-0.7689244204003745,0.0,0.0,0.0,0.0,-0.3181511049149396,-0.23234760641031893,-0.3667042064282817,0.0,0.0,0.0,-0.4562453442671481,0.0,0.0,0.0,0.007364470682947437,-0.2739360501291869,-0.4235266662892721,-0.2956297959134716,0.0,0.07777433153603487,0.04193465504282251,-0.00959586807786256,0.0,0.0,-0.16108852820227035,-0.12651834914277915,0.0,-0.21523650151172877,-1.0,-0.34199591631263293,0.0,0.0,0.0,0.16059308010249987,-0.09282076562587979,0.0
0.0,-0.07741080580604362,0.28271071742420545,-0.18555188893446328,0.09901302180151464,0.0,0.18589726559633948,-0.17865774859046882,0.0,0.0,0.10077054641387873,-0.4562453442671481,0.14604818624824373,0.0,0.0,0.0,0.0,-0.5367457301864185,-0.34199591631263293,-0.3667042064282817,-0.4235266662892721,-0.16108852820227035,-1.0,-0.21523650151172877,-0.14380478753867637,0.16059308010249987,-0.6617713228674238,0.0,0.0,0.0,-0.02639466065566566,0.0,0.0,0.0,0.13749309249349692,-0.2956297959134716,0.0,-0.5906923096888456,0.0,-0.09282076562587979,-0.00959586807786256,0.0,0.0,-0.23414944874252777,0.0,0.0,0.007364470682947437,0.0,0.11659860157580289,0.0,0.0,0.0,0.0,0.0,-0.7689244204003745,0.0,0.0,0.0,0.0,-0.04315196464849565,-0.3181511049149396,0.0,-0.12651834914277915,0.0,0.0,-0.3937867298069433,-0.4933549721023198,0.0,0.0,0.0,-0.19686944205712825,-0.2739360501291869,0.0,0.024629931423276342,0.0,0.0,-0.07616392770215681,0.0,0.07777433153603487,-0.25385127759129666
0.14604818624824373,0.0545367710144872,0.17881223283545225,-0.016245121056201496,0.0,0.18589726559633948,0.0,0.16059308010249987,0.0,0.0,0.3680142283397772,-0.5906923096888456,0.0,-0.034326729591865626,0.0,0.0,-0.7689244204003745,-0.07616392770215681,-0.4933549721023198,-0.17865774859046882,-0.09282076562587979,-0.16108852820227035,-0.5367457301864185,-0.34199591631263293,-0.21523650151172877,-0.2956297959134716,-0.10960407384182626,0.0,0.0,0.0,0.0,0.11659860157580289,0.0,0.0,0.024629931423276342,-0.4562453442671481,0.0,0.0,0.0,-0.14380478753867637,-0.6617713228674238,0.0,0.0,-1.0,0.0,0.0,0.0,-0.23414944874252777,-0.3181511049149396,0.0,-0.3667042064282817,0.0,-0.25385127759129666,-0.3937867298069433,-0.4235266662892721,0.0,-0.059523058987138035,0.0,0.0,0.07777433153603487,-0.04315196464849565,0.0,0.0,0.007364470682947437,-0.2739360501291869,0.0,0.0,0.0,0.0,0.0,0.0,-0.19686944205712825,-0.12651834914277915,0.0,0.0,0.0,0.0,0.059524386809821035,0.0,0.0
0.0,0.2417627281229329,0.0,0.0,-0.5528564489079935,-0.16108852820227035,0.0,0.0,0.024629931423276342,0.11659860157580289,0.0,0.0,0.11752448141609156,0.0,-0.012479598544764709,0.0,0.0,0.0,0.0,-0.3181511049149396,0.0,0.0,0.0,0.0,0.09665050141588814,-0.02639466065566566,-0.3937867298069433,0.0,0.0,0.13749309249349692,0.0,-0.4933549721023198,-0.05611990399007834,0.0,-0.7689244204003745,0.0,-0.4235266662892721,-0.3667042064282817,-0.19686944205712825,0.0,-0.07616392770215681,-0.10960407384182626,0.0,0.2173831745363812,0.0,0.0,0.0,0.0,-0.6617713228674238,-0.44477182313257474,0.0,0.0,0.0,0.0,0.04193465504282251,0.16059308010249987,0.0,0.0,-0.25385127759129666,-0.5367457301864185,-0.2739360501291869,-0.4562453442671481,-1.0,-0.2956297959134716,0.0,0.0,0.007364470682947437,-0.21523650151172877,-0.17865774859046882,-0.5906923096888456,0.0,-0.09282076562587979,-0.12651834914277915,0.0,0.0,0.0,0.059524386809821035,0.0,-0.059523058987138035,-0.14380478753867637
0.0,-0.47690539759075534,0.17881223283545225,0.2718726441302313,-0.062321130536885476,0.0,0.0,0.0,0.0,-0.059523058987138035,0.3680142283397772,0.09665050141588814,0.0,-0.3844718519403232,0.0,0.0,-0.7689244204003745,0.0,-0.5906923096888456,0.0,-0.4562453442671481,-0.2739360501291869,-0.3181511049149396,-0.16108852820227035,0.0,0.059524386809821035,-0.4933549721023198,0.0,0.04193465504282251,0.0,0.0,0.0,0.0,0.0,0.11659860157580289,-0.14380478753867637,0.0,0.07777433153603487,0.0,-0.34199591631263293,-0.4235266662892721,0.0,0.0,-0.07616392770215681,0.0,0.0,0.0,0.007364470682947437,-0.6617713228674238,0.0,-0.3937867298069433,0.0,0.0,0.0,-0.10960407384182626,0.0,-0.12651834914277915,-0.04315196464849565,-0.25385127759129666,-0.17865774859046882,-0.5367457301864185,-1.0,-0.21523650151172877,-0.19686944205712825,0.0,-0.23414944874252777,0.0,0.0,0.0,0.024629931423276342,0.0,0.18589726559633948,0.0,0.0,0.0,0.0,-0.00959586807786256,-0.09282076562587979,0.0,0.0
0.0,0.2417627281229329,0.0,0.0,0.0,0.0,-0.12651834914277915,0.2173831745363812,0.0,0.0,0.0,-0.2739360501291869,0.24267156123758532,0.10114691310693219,0.0,-0.16108852820227035,0.0,0.0,0.0,0.09665050141588814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5906923096888456,0.0,-0.14380478753867637,-0.7689244204003745,-0.3181511049149396,0.0,0.0,0.0,-0.09282076562587979,-0.5367457301864185,0.059524386809821035,-0.6617713228674238,0.0,-0.23414944874252777,-0.21523650151172877,-0.059523058987138035,0.04193465504282251,-0.3667042064282817,-0.2956297959134716,-0.17865774859046882,-0.3937867298069433,0.11659860157580289,0.17881223283545225,0.0,-0.4235266662892721,0.0,0.0,-0.07616392770215681,-0.19686944205712825,0.0,0.0,0.0,-0.02639466065566566,0.0,0.0,0.007364470682947437,-0.00959586807786256,0.0,0.0,0.0,-0.10960407384182626,0.0,-0.04315196464849565,0.0,-0.25385127759129666,0.0,0.0,-0.4562453442671481,-1.0,0.024629931423276342,-0.4933549721023198,0.0,-0.34199591631263293
0.0,0.10114691310693219,-1.0,0.0,0.017388446275346085,0.024629931423276342,0.0,0.0,0.09665050141588814,0.0,-0.1007682985046691,0.18589726559633948,0.0,0.0,0.0,-0.14380478753867637,0.0,0.0,0.0,0.0,-0.5367457301864185,-0.04315196464849565,0.0,-0.19686944205712825,0.0,-0.12651834914277915,0.0,0.16059308010249987,0.059524386809821035,0.0,-1.0,0.0,0.0,0.0,-0.09282076562587979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5906923096888456,-0.3181511049149396,-0.3937867298069433,0.0,0.0,-0.47690539759075534,0.0,-0.10960407384182626,0.0,-0.23414944874252777,-0.21523650151172877,0.04193465504282251,0.11659860157580289,-0.16108852820227035,-0.34199591631263293,-0.2739360501291869,-0.00959586807786256,-0.2956297959134716,-0.25385127759129666,-0.02639466065566566,-0.07616392770215681,-0.4933549721023198,-0.17865774859046882,0.0,0.13749309249349692,-0.4562453442671481,0.0,0.0,0.0,0.0,-0.4235266662892721,-0.6617713228674238,0.0,0.0,0.0,0.0
0.0,0.17881223283545225,0.0,0.07099238360647037,0.14054460214121536,0.0,-0.059523058987138035,0.07777433153603487,0.0,0.0,0.0,0.0,0.0,-0.3301381395314741,0.009577626210795595,0.0,-0.4562453442671481,-0.21523650151172877,0.0,0.0,0.09665050141588814,-0.5367457301864185,-0.4933549721023198,-0.00959586807786256,0.18589726559633948,0.0,-0.09282076562587979,0.0,0.0,0.024629931423276342,0.0,0.0,0.28271071742420545,0.0,0.0,0.0,0.0,-0.2739360501291869,0.0,0.0,0.0,-0.16108852820227035,-0.3667042064282817,0.0,-0.19686944205712825,-0.02639466065566566,0.0,0.0,0.0,0.0,0.0,-0.07616392770215681,-0.23414944874252777,0.16059308010249987,-0.2956297959134716,0.11659860157580289,-0.34199591631263293,-0.14380478753867637,-0.5906923096888456,0.0,-0.04315196464849565,0.0,0.0,-0.4235266662892721,0.0,-0.3937867298069433,0.0,-0.10960407384182626,0.0,0.0,-0.17865774859046882,-1.0,0.0,-0.6617713228674238,0.0,-0.12651834914277915,0.0,-0.3181511049149396,0.0,-0.7689244204003745
0.0,-0.09905255403710381,0.12569571059475884,0.0,0.0,0.13749309249349692,0.04193465504282251,0.0,-0.3181511049149396,0.0,-0.04468428016198378,0.2173831745363812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14380478753867637,0.059524386809821035,0.0,0.07777433153603487,0.0,0.0,0.11659860157580289,-0.2956297959134716,0.0,0.0,-1.0,0.0,-0.059523058987138035,0.0,-0.19686944205712825,-0.3667042064282817,-0.21523650151172877,0.16059308010249987,0.0,0.18589726559633948,0.0,0.0,0.0,-0.25385127759129666,0.0,-0.17865774859046882,0.0,0.0,0.009577626210795595,0.0,0.0,0.0,-0.10960407384182626,-0.4562453442671481,-0.12651834914277915,0.0,-0.09282076562587979,-0.34199591631263293,-0.4235266662892721,0.0,0.0,-0.16108852820227035,-0.6617713228674238,0.0,0.0,0.0,-0.5367457301864185,0.0,-0.04315196464849565,0.0,-0.4933549721023198,-0.2739360501291869,-0.3937867298069433,-0.23414944874252777,0.024629931423276342,-0.5906923096888456,-0.7689244204003745,0.0,-0.00959586807786256
0.0,0.0,0.28271071742420545,0.0,0.0,0.0,-0.059523058987138035,0.11659860157580289,-0.10960407384182626,-0.34199591631263293,0.0,-0.09282076562587979,0.0,0.2417627281229329,0.17881223283545225,0.0,0.0,0.0,0.0,0.09665050141588814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04193465504282251,-0.23414944874252777,0.024629931423276342,-1.0,-1.0,-0.16108852820227035,0.0,-0.2739360501291869,-0.04315196464849565,-0.6617713228674238,0.0,0.0,0.0,-0.5906923096888456,0.0,-0.3181511049149396,-0.5367457301864185,0.0,0.0,-0.3667042064282817,-0.3844718519403232,-0.07616392770215681,-0.14380478753867637,0.07777433153603487,0.0,0.0,-0.4933549721023198,-0.4562453442671481,-0.4235266662892721,0.0,0.007364470682947437,-0.21523650151172877,-0.12651834914277915,0.0,0.0,-0.02639466065566566,-0.00959586807786256,0.059524386809821035,-0.17865774859046882,0.0,-0.19686944205712825,-0.25385127759129666,0.0,0.0,0.0,0.0,-0.3937867298069433,0.0,0.0,0.0,0.16059308010249987
0.0,0.0,0.0,0.3680142283397772,0.0,0.0,0.0,0.0,-0.23414944874252777,-0.04315196464849565,0.23276601072718064,-0.21523650151172877,-0.19118137152661913,0.10114691310693219,0.12569571059475884,0.0,0.0,-0.3667042064282817,-0.2956297959134716,0.0,-0.19686944205712825,0.0,0.0,0.0,-0.6617713228674238,0.0,-0.14380478753867637,0.0,0.0,-0.00959586807786256,0.0,-0.4235266662892721,0.0,-0.09282076562587979,-0.10960407384182626,0.0,0.0,0.024629931423276342,0.0,0.0,0.0,0.0,0.059524386809821035,-0.2739360501291869,0.0,-0.07616392770215681,0.0,-0.16108852820227035,-0.7689244204003745,0.0,-0.4562453442671481,0.16059308010249987,-0.5906923096888456,-0.3937867298069433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059523058987138035,0.007364470682947437,0.04193465504282251,0.11659860157580289,0.0,0.0,0.0,0.0,-0.5367457301864185,-0.4933549721023198,-0.3181511049149396,-0.25385127759129666,0.0,0.18589726559633948,-0.17865774859046882,-1.0,-0.34199591631263293,-0.02639466065566566
-0.32524301684624113,0.17881223283545225,0.0,0.0,0.0,0.0,0.0,0.2173831745363812,0.18589726559633948,-0.14380478753867637,-0.39639833615891984,0.0,-0.03988486618202017,0.0545367710144872,0.07741253266325841,-0.2956297959134716,0.0,0.0,0.0,0.0,0.0,0.024629931423276342,0.0,-0.19686944205712825,0.0,0.0,-0.2739360501291869,0.0,0.0,-0.17865774859046882,-0.7689244204003745,0.0,0.0,-0.3937867298069433,0.007364470682947437,0.0,-0.6617713228674238,0.0,-0.4933549721023198,0.0,0.0,0.0,-0.4235266662892721,0.0,-1.0,-0.07616392770215681,0.0,0.0,-0.12651834914277915,0.0,0.09665050141588814,0.16059308010249987,-0.00959586807786256,0.0,0.0,-0.5906923096888456,-0.10960407384182626,0.0,0.0,-0.5367457301864185,-0.3667042064282817,-0.34199591631263293,0.0,0.0,-0.3181511049149396,-0.16108852820227035,-0.25385127759129666,-0.09282076562587979,0.0,0.0,0.07777433153603487,0.0,0.0,0.11659860157580289,-0.04315196464849565,-0.4562453442671481,0.0,-0.059523058987138035,0.0,0.0
0.08994706290974454,0.28271071742420545,-0.09905255403710381,0.23276601072718064,0.017388446275346085,-0.3181511049149396,0.0,0.0,0.0,-0.21523650151172877,-0.07305320204901004,0.0,0.0,0.0,0.0,0.024629931423276342,0.18589726559633948,0.0,0.0,0.16059308010249987,-0.14380478753867637,0.0,0.0,0.0,0.0,0.04193465504282251,0.11659860157580289,0.0,0.0,-1.0,-0.19686944205712825,0.0,0.0,0.0,-0.4235266662892721,0.0,-0.10960407384182626,-0.17865774859046882,-0.5906923096888456,0.0,0.0,-0.7689244204003745,-0.3937867298069433,0.0,-0.09282076562587979,0.0,-0.5367457301864185,0.0,0.0,-0.034326729591865626,0.0,0.0,0.0,0.09665050141588814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23414944874252777,-0.059523058987138035,-0.12651834914277915,-0.2956297959134716,-0.25385127759129666,-0.4933549721023198,0.07777433153603487,-0.3667042064282817,-0.16108852820227035,-0.2739360501291869,-0.34199591631263293,-0.6617713228674238,-0.00959586807786256,-0.4562453442671481,0.0,0.0
