N63T64,N111T112,N117T118,N213T214,N5357T5358,N15T16,N17T18,N21T22,N23T24,N25T26,N27T28,N29T30,N31T32,N33T34,N35T36,N37T38,N39T40,N41T42,N45T46,N53T54,N55T56,N59T60,N65T66,N67T68,N87T88,N91T92,N95T96,N115T116,N119T120,N123T124,N131T132,N135T136,N137T138,N139T140,N143T144,N147T148,N149T150,N155T156,N161T162,N163T164,N165T166,N167T168,N169T170,N173T174,N179T180,N181T182,N189T190,N195T196,N211T212,N215T216,N219T220,N221T222,N13T14,N235T236,N145T146,N201T202,N191T192,N225T226,N193T194,N199T200,N203T204,N217T218,N209T210,N231T232,N257T258,N2397T2398,N5263T5264,N247T248,N249T250,N253T254,N89T90,N265T266,N269T270,N267T268,N271T272,N43T44,N61T62,N5373T5374,N5381T5382,N5759T5760
0.0,0.8551594022527615,0.45931855329689497,0.0,0.357775304836293,-0.09282076562587979,0.0,0.0,0.0,0.13749309249349692,0.0,-0.12651834914277915,0.0,-0.02639466065566566,-0.5906923096888456,0.0,0.0,0.0,0.16059308010249987,0.0,0.0,0.0,0.0,0.0,-0.20949852017756504,-0.00959586807786256,0.0,-0.07616392770215681,-0.25385127759129666,0.0,-0.19686944205712825,-0.4562453442671481,-0.3937867298069433,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024629931423276342,0.059524386809821035,-0.4933549721023198,0.007364470682947437,-0.3181511049149396,-0.2956297959134716,-0.5367457301864185,-0.7689244204003745,0.2173831745363812,-0.21523650151172877,-0.10960407384182626,0.09665050141588814,-0.23414944874252777,-0.04315196464849565,0.0,-0.34199591631263293,0.0,0.0,0.0,0.0,0.0,0.0,-0.14380478753867637,0.0,-0.17865774859046882,0.0,0.0,0.0,-0.6617713228674238,0.0,-0.4235266662892721,-0.2739360501291869,0.0,-0.059523058987138035,-0.3667042064282817,0.04193465504282251,0.0,0.0,0.0
0.0,0.6324918788527771,0.0,0.0,0.536373626084336,-0.2739360501291869,0.0,-0.04315196464849565,0.0,-1.0,-0.17865774859046882,0.0,0.0,0.059524386809821035,-0.19686944205712825,0.0,0.0,-0.3181511049149396,-0.09282076562587979,0.0,-0.4933549721023198,0.0,-0.3937867298069433,0.09665050141588814,0.0,0.0,-0.059523058987138035,0.0,-0.16108852820227035,0.0,-0.14380478753867637,0.0,-0.3667042064282817,0.0,0.07777433153603487,0.0,0.04193465504282251,-0.4235266662892721,0.0,-0.25385127759129666,0.0,0.0,0.007364470682947437,0.0,-0.4562453442671481,-0.2956297959134716,-0.00959586807786256,0.0,0.16059308010249987,-0.34199591631263293,-0.6617713228674238,0.18589726559633948,0.0,-0.5906923096888456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02639466065566566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7689244204003745,-0.07616392770215681,-0.21523650151172877,-0.23414944874252777,0.2173831745363812,-0.12651834914277915,-0.5367457301864185,-0.10960407384182626,0.024629931423276342
0.0,1.0,0.0,0.7387557958199891,0.0,0.0,0.0,0.059524386809821035,0.0,-0.02639466065566566,0.0,-0.12651834914277915,0.0,-0.14380478753867637,-0.7689244204003745,0.0,0.0,0.0,0.0,0.0,-0.4562453442671481,0.0,0.07777433153603487,0.0,-0.356258746453325,-0.34199591631263293,-0.4933549721023198,-0.2956297959134716,0.0,0.0,0.0,0.007364470682947437,0.0,0.0,0.0,-0.3181511049149396,0.0,0.0,-0.09282076562587979,-0.00959586807786256,0.0,0.0,-0.10960407384182626,-0.3937867298069433,0.0,-0.23414944874252777,0.04193465504282251,-0.059523058987138035,0.09665050141588814,-0.19686944205712825,-0.07616392770215681,0.0,0.0,0.0,-0.5906923096888456,-0.04315196464849565,0.0,0.0,0.0,0.0,0.18589726559633948,-0.4235266662892721,-1.0,0.024629931423276342,-0.5367457301864185,-0.25385127759129666,-0.3667042064282817,0.0,0.0,0.11659860157580289,-0.17865774859046882,0.0,0.0,0.13749309249349692,-0.16108852820227035,-0.21523650151172877,-0.6617713228674238,0.0,0.0,0.0
0.0,0.0,0.3063775462310353,0.0,0.8551594022527615,0.0,0.0,0.0,0.0,0.0,-0.04315196464849565,-0.21523650151172877,-0.34199591631263293,-0.5367457301864185,-0.14380478753867637,0.0,-0.02639466065566566,0.0,-0.09282076562587979,0.0,0.0,0.0,-0.00959586807786256,0.0,0.0,0.0,0.0,0.0,0.059524386809821035,-0.3181511049149396,0.0,-0.2956297959134716,-0.5906923096888456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10960407384182626,0.0,-0.19686944205712825,-0.17865774859046882,-0.6617713228674238,-0.4235266662892721,-0.3667042064282817,0.0,-0.16108852820227035,0.0,-0.4562453442671481,0.04193465504282251,-0.059523058987138035,-0.2739360501291869,0.0,0.0,-0.23414944874252777,-0.3937867298069433,0.0,0.0,0.0,-1.0,-0.7689244204003745,0.13749309249349692,0.11659860157580289,-0.4933549721023198,0.024629931423276342,-0.12651834914277915,-0.25385127759129666,0.0,0.0,0.0,0.16059308010249987,0.0,0.0,0.007364470682947437,-0.07616392770215681,0.09665050141588814
0.0,0.4446089336123516,0.45931855329689497,0.0,0.03387783207533811,0.0,0.0,0.0,0.0,0.024629931423276342,-0.00959586807786256,-0.14380478753867637,0.13749309249349692,-0.3181511049149396,0.0,0.0,0.0,0.0,0.0,0.0,-0.16108852820227035,0.0,-1.0,0.0,-0.2799189306533617,0.0,-0.6617713228674238,0.0,-0.2739360501291869,-0.19686944205712825,-0.059523058987138035,-0.17865774859046882,-0.2956297959134716,-0.3667042064282817,-0.4933549721023198,-0.5367457301864185,0.0,0.0,0.0,0.0,0.04193465504282251,0.0,-0.4562453442671481,0.0,0.0,0.0,0.0,0.059524386809821035,0.0,-0.10960407384182626,0.16059308010249987,-0.09282076562587979,-0.23414944874252777,-0.3937867298069433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25385127759129666,-0.12651834914277915,0.07777433153603487,-0.34199591631263293,0.0,0.0,0.0,0.0,-0.7689244204003745,0.0,-0.04315196464849565,0.18589726559633948,-0.4235266662892721,-0.02639466065566566,-0.07616392770215681,-0.5906923096888456,0.2173831745363812
0.0,0.2738224194985203,0.6326266372433094,0.8551594022527615,0.0,0.0,0.0,-0.23414944874252777,0.13749309249349692,0.0,0.07777433153603487,0.0,0.0,0.0,-0.09282076562587979,0.0,0.007364470682947437,0.0,-0.059523058987138035,-0.05611990399007834,0.11659860157580289,0.0,-0.5367457301864185,0.0,0.12569571059475884,-0.7689244204003745,0.0,-0.00959586807786256,-0.5906923096888456,-0.10960407384182626,0.0,-0.17865774859046882,-0.14380478753867637,0.0,-0.02639466065566566,0.0,0.0,0.0,-0.6617713228674238,-0.3667042064282817,0.0,-0.4933549721023198,-0.25385127759129666,-0.3937867298069433,0.0,0.0,0.0,0.0,0.04193465504282251,0.0,-0.07616392770215681,-0.21523650151172877,0.0,0.0,-0.19686944205712825,-0.3181511049149396,0.0,0.0,0.0,0.0,0.0,0.0,0.024629931423276342,-0.34199591631263293,0.2173831745363812,0.0,-0.12651834914277915,-0.2956297959134716,-0.2739360501291869,-0.16108852820227035,-0.4562453442671481,0.0,0.0,0.0,0.0,-0.4235266662892721,-1.0,0.0,0.0,0.0
0.4446089336123516,0.0,-0.03780114155388263,0.8551594022527615,0.0,-0.059523058987138035,-1.0,0.0,-0.3937867298069433,0.024629931423276342,0.0,-0.07616392770215681,-0.09282076562587979,-0.4562453442671481,-0.17865774859046882,-0.02639466065566566,0.0,-0.4933549721023198,0.0,0.0,-0.3181511049149396,0.0,0.0,0.0,0.0,-0.21523650151172877,-0.19686944205712825,0.0,0.0,0.0,-0.10960407384182626,-0.3667042064282817,0.0,0.0,-0.16108852820227035,0.16059308010249987,-0.14380478753867637,0.0,0.13749309249349692,0.0,0.059524386809821035,0.04193465504282251,0.0,-0.6617713228674238,0.0,0.0,0.0,0.0,-0.34199591631263293,-0.4235266662892721,-0.25385127759129666,-0.2956297959134716,0.0,-0.12651834914277915,0.0,0.0,-0.7689244204003745,-0.23414944874252777,0.0,0.2173831745363812,0.07777433153603487,0.0,-0.04315196464849565,0.0,0.0,0.0,0.0,-0.5906923096888456,0.0,0.11659860157580289,0.0,0.0,0.0,0.0,0.0,0.007364470682947437,-0.5367457301864185,0.0,-0.2739360501291869,0.0
0.7387557958199891,0.0,0.3063775462310353,0.19290662735171502,0.0,0.0,-0.23414944874252777,-0.12651834914277915,0.0,0.2173831745363812,0.0,0.0,-1.0,-0.17865774859046882,-0.4562453442671481,0.0,-0.3181511049149396,-0.4235266662892721,0.0,0.03203166757332493,0.0,0.0,0.0,0.18589726559633948,0.0,0.0,0.0,0.0,0.0,0.0,-0.2739360501291869,-0.02639466065566566,-0.4933549721023198,0.0,-0.00959586807786256,0.0,0.0,0.0,0.0,0.13749309249349692,0.0,-0.2956297959134716,0.0,0.059524386809821035,0.0,0.0,-0.7689244204003745,-0.34199591631263293,-0.19686944205712825,-0.14380478753867637,0.0,0.0,-0.25385127759129666,-0.09282076562587979,-0.6617713228674238,-0.07616392770215681,-0.3937867298069433,0.0,-0.21523650151172877,-0.5367457301864185,0.0,-0.16108852820227035,-0.3667042064282817,0.0,-0.10960407384182626,0.007364470682947437,0.09665050141588814,-0.5906923096888456,0.0,0.0,0.0,0.0,0.0,-0.04315196464849565,0.0,0.0,0.0,0.11659860157580289,-0.059523058987138035,0.0
0.03387783207533811,0.2738224194985203,0.16519379158035108,0.7387557958199891,0.0,0.0,0.0,0.0,0.0,-0.34199591631263293,-0.2739360501291869,0.0,-0.7689244204003745,0.0,0.0,0.0,-0.19686944205712825,0.0,-0.00959586807786256,0.0,0.0,0.0,-0.09282076562587979,0.18589726559633948,0.0,0.0,0.0,0.0,0.0,-0.5906923096888456,0.0,0.0,0.13749309249349692,0.0,-0.02639466065566566,0.11659860157580289,-0.4562453442671481,-0.23414944874252777,-0.4235266662892721,0.2173831745363812,-0.2956297959134716,0.0,0.024629931423276342,0.0,-0.12651834914277915,0.0,0.0,0.0,0.0,0.0,0.0,-0.04315196464849565,-0.07616392770215681,0.07777433153603487,0.0,-0.059523058987138035,0.0,0.0,-0.17865774859046882,-0.21523650151172877,0.0,0.0,-0.3937867298069433,0.0,-1.0,0.0,-0.5367457301864185,-0.14380478753867637,-0.6617713228674238,0.0,0.0,-0.25385127759129666,-0.3181511049149396,0.0,0.0,-0.10960407384182626,-0.4933549721023198,-0.3667042064282817,-0.16108852820227035,0.09665050141588814
0.4446089336123516,1.0,0.0,0.0,-0.1985064609555315,0.0,0.0,0.0,0.0,0.0,0.07777433153603487,-0.7689244204003745,0.024629931423276342,-0.6617713228674238,-0.5906923096888456,-1.0,-0.5367457301864185,-0.09282076562587979,-0.02639466065566566,-0.09905255403710381,0.11659860157580289,0.0,-0.059523058987138035,0.0,0.20885418103755893,0.0,-0.2739360501291869,0.0,0.0,0.18589726559633948,-0.00959586807786256,0.007364470682947437,0.04193465504282251,0.0,0.0,0.0,0.0,0.0,-0.17865774859046882,-0.4562453442671481,0.0,0.0,0.0,-0.2956297959134716,-0.19686944205712825,0.0,0.0,-0.21523650151172877,0.0,0.0,-0.4235266662892721,0.0,0.0,0.0,0.0,0.0,-0.10960407384182626,-0.12651834914277915,0.059524386809821035,-0.3667042064282817,-0.14380478753867637,-0.3937867298069433,0.0,0.0,0.0,-0.3181511049149396,-0.34199591631263293,-0.4933549721023198,0.13749309249349692,-0.23414944874252777,-0.16108852820227035,0.0,0.0,0.0,0.0,0.0,0.0,-0.25385127759129666,0.0,0.0
0.03387783207533811,0.536373626084336,0.0,0.0,0.6324918788527771,-0.12651834914277915,-0.5906923096888456,-0.2739360501291869,-0.25385127759129666,-0.5367457301864185,-0.2956297959134716,0.0,0.0,-0.16108852820227035,0.0,-0.4933549721023198,-0.3181511049149396,-0.34199591631263293,0.0,-0.30451555774572425,-1.0,0.2173831745363812,0.0,0.0,0.2417627281229329,0.0,0.0,0.0,0.0,-0.4235266662892721,-0.19686944205712825,0.0,-0.10960407384182626,0.0,-0.14380478753867637,-0.02639466065566566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09282076562587979,-0.3667042064282817,-0.00959586807786256,0.0,0.0,0.0,0.0,0.0,-0.7689244204003745,-0.21523650151172877,0.0,0.0,-0.059523058987138035,0.0,0.0,0.059524386809821035,0.0,-0.07616392770215681,0.0,0.0,0.09665050141588814,0.0,0.0,-0.3937867298069433,-0.17865774859046882,-0.04315196464849565,-0.6617713228674238,-0.4562453442671481,0.024629931423276342,0.0,0.0,0.04193465504282251,0.07777433153603487,0.16059308010249987,0.0,0.0
0.0,0.8551594022527615,0.0,0.0,1.0,0.11659860157580289,0.0,0.0,0.0,0.0,-0.3667042064282817,-0.21523650151172877,-0.34199591631263293,-0.4562453442671481,0.0,0.0,-0.5367457301864185,0.09665050141588814,0.024629931423276342,0.0,-0.19686944205712825,0.0,-0.3181511049149396,0.0,-0.12071507051050422,-0.10960407384182626,0.16059308010249987,0.0,0.0,0.0,0.0,0.0,-0.7689244204003745,0.0,-1.0,-0.2739360501291869,0.0,-0.17865774859046882,-0.3937867298069433,0.0,0.0,-0.00959586807786256,0.0,0.0,-0.23414944874252777,0.007364470682947437,-0.04315196464849565,-0.25385127759129666,-0.2956297959134716,0.0,0.04193465504282251,0.07777433153603487,0.0,-0.02639466065566566,0.0,0.0,-0.5906923096888456,0.0,0.0,0.0,-0.14380478753867637,-0.07616392770215681,0.0,-0.12651834914277915,-0.059523058987138035,-0.4933549721023198,0.059524386809821035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6617713228674238,0.13749309249349692,0.0,-0.16108852820227035,-0.4235266662892721
0.0,0.4446089336123516,0.029010965604846454,0.0,0.536373626084336,-0.17865774859046882,-0.02639466065566566,0.04193465504282251,0.0,0.0,0.0,0.07777433153603487,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.5906923096888456,-0.21523650151172877,0.0,-0.23414944874252777,-0.16108852820227035,0.18589726559633948,-0.19686944205712825,-0.07616392770215681,0.0,0.0,0.0,-0.3937867298069433,-0.34199591631263293,-0.3667042064282817,0.0,0.0,0.0,-0.09282076562587979,0.0,-0.5367457301864185,-0.3181511049149396,0.16059308010249987,0.0,0.0,-0.25385127759129666,0.0,0.0,0.0,0.0,-0.2739360501291869,0.0,-0.04315196464849565,0.0,0.0,0.0,-0.12651834914277915,0.0,0.024629931423276342,0.0,0.0,0.0,0.2173831745363812,-0.10960407384182626,0.0,0.059524386809821035,0.0,-0.7689244204003745,-0.14380478753867637,-0.4235266662892721,0.0,-0.2956297959134716,0.0,0.13749309249349692,-0.6617713228674238,-0.4933549721023198,-0.00959586807786256,-0.059523058987138035,-0.4562453442671481
0.03387783207533811,0.0,0.0,0.7387557958199891,0.357775304836293,-0.4933549721023198,0.0,0.0,-0.5906923096888456,0.0,-1.0,-0.4562453442671481,0.13749309249349692,-0.10960407384182626,0.0,-0.3181511049149396,-0.5367457301864185,-0.7689244204003745,0.11659860157580289,0.0,-0.12651834914277915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024629931423276342,0.0,0.18589726559633948,0.0,-0.21523650151172877,0.0,-0.4235266662892721,-0.3937867298069433,0.0,0.2173831745363812,-0.25385127759129666,0.0,0.0,0.0,-0.3667042064282817,-0.2956297959134716,-0.02639466065566566,-0.19686944205712825,0.0,0.0,0.0,0.059524386809821035,0.09665050141588814,0.0,0.0,0.0,-0.14380478753867637,0.0,-0.6617713228674238,-0.16108852820227035,0.0,-0.059523058987138035,-0.07616392770215681,-0.34199591631263293,-0.17865774859046882,0.0,-0.2739360501291869,0.0,0.0,0.0,0.0,-0.09282076562587979,0.0,0.0,0.0,0.04193465504282251,-0.04315196464849565,-0.00959586807786256,-0.23414944874252777,0.0
0.0,0.0,0.856340675528805,0.2738224194985203,0.0,0.0,0.024629931423276342,-0.059523058987138035,0.0,0.0,-0.4562453442671481,0.0,0.0,-0.5367457301864185,-0.02639466065566566,-1.0,-0.4933549721023198,0.0,0.0,0.0,0.0,-0.2739360501291869,0.0,0.13749309249349692,0.0,-0.12651834914277915,-0.19686944205712825,0.0,-0.10960407384182626,0.0,0.0,-0.5906923096888456,0.0,0.0,-0.04315196464849565,0.18589726559633948,-0.21523650151172877,0.0,-0.16108852820227035,0.16059308010249987,-0.2956297959134716,0.0,0.04193465504282251,0.0,-0.34199591631263293,0.0,0.0,0.0,-0.3667042064282817,-0.6617713228674238,0.0,0.0,-0.25385127759129666,-0.14380478753867637,-0.07616392770215681,0.07777433153603487,-0.7689244204003745,0.0,-0.09282076562587979,0.007364470682947437,0.0,0.0,-0.00959586807786256,0.0,0.0,0.0,0.0,-0.17865774859046882,0.11659860157580289,0.0,0.0,0.09665050141588814,-0.3181511049149396,-0.3937867298069433,0.0,-0.23414944874252777,-0.4235266662892721,0.0,0.0,0.0
0.0,0.536373626084336,0.856340675528805,0.357775304836293,0.0,-0.6617713228674238,0.0,0.0,0.0,0.0,-0.09282076562587979,-0.3181511049149396,0.0,0.0,0.0,0.0,-0.10960407384182626,0.0,0.0,0.0,0.0,0.0,0.13749309249349692,0.0,0.07741253266325841,-0.16108852820227035,0.0,0.0,-0.34199591631263293,-0.14380478753867637,-0.4933549721023198,0.0,0.0,0.0,0.0,0.0,0.18589726559633948,0.0,-0.12651834914277915,0.0,0.0,-0.25385127759129666,-0.059523058987138035,0.0,0.16059308010249987,-0.2739360501291869,-0.3667042064282817,0.09665050141588814,-0.04315196464849565,0.0,0.0,0.0,-0.23414944874252777,0.0,-0.3937867298069433,-0.2956297959134716,-0.19686944205712825,-0.21523650151172877,0.024629931423276342,-0.7689244204003745,0.007364470682947437,0.04193465504282251,-0.07616392770215681,-0.00959586807786256,0.0,0.0,-0.4562453442671481,0.0,-0.4235266662892721,-1.0,0.0,-0.5367457301864185,-0.02639466065566566,0.0,-0.5906923096888456,0.0,0.0,-0.17865774859046882,0.0,0.0
0.0,0.6324918788527771,0.0,0.8551594022527615,0.0,-0.25385127759129666,-0.7689244204003745,0.0,0.0,0.0,-0.6617713228674238,0.0,0.0,0.0,-0.23414944874252777,0.09665050141588814,-0.19686944205712825,0.0,0.0,0.0,0.0,-0.21523650151172877,0.0,0.0,-0.47690539759075534,0.0,-0.09282076562587979,0.0,-0.4235266662892721,0.0,0.0,-0.14380478753867637,0.007364470682947437,-0.3181511049149396,-0.04315196464849565,0.0,0.0,-0.059523058987138035,0.0,-0.16108852820227035,0.0,-0.02639466065566566,0.11659860157580289,0.0,-0.00959586807786256,-0.4933549721023198,-0.5906923096888456,0.0,0.059524386809821035,-0.12651834914277915,0.0,-0.2739360501291869,-0.34199591631263293,-0.07616392770215681,-0.10960407384182626,0.0,0.0,0.0,0.0,-0.3937867298069433,0.0,0.024629931423276342,0.0,0.0,0.07777433153603487,0.0,0.0,0.0,0.2173831745363812,-0.4562453442671481,-0.17865774859046882,-0.2956297959134716,0.16059308010249987,0.0,-1.0,0.0,0.0,0.04193465504282251,0.0,-0.5367457301864185
0.6324918788527771,0.0,0.7323077802099389,0.0,0.0,-0.3937867298069433,-0.16108852820227035,-0.17865774859046882,0.0,-0.00959586807786256,0.0,0.0,-0.6617713228674238,0.0,-1.0,0.0,-0.4562453442671481,0.0,0.0,0.0,-0.4235266662892721,0.0,-0.5906923096888456,0.0,-0.12071507051050422,0.0,0.0,0.16059308010249987,-0.12651834914277915,0.0,-0.34199591631263293,0.0,0.059524386809821035,0.0,0.2173831745363812,-0.07616392770215681,0.024629931423276342,-0.3667042064282817,-0.19686944205712825,0.0,-0.02639466065566566,0.0,0.04193465504282251,0.0,0.0,0.0,-0.5367457301864185,0.0,0.0,0.0,-0.4933549721023198,0.0,-0.2956297959134716,-0.14380478753867637,0.0,0.0,-0.2739360501291869,-0.23414944874252777,0.0,0.0,-0.21523650151172877,-0.25385127759129666,0.0,0.007364470682947437,-0.059523058987138035,-0.04315196464849565,-0.3181511049149396,0.0,0.0,0.0,0.09665050141588814,-0.10960407384182626,-0.7689244204003745,0.07777433153603487,0.11659860157580289,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.23448527568829472,0.0,0.0,0.0,0.0,0.0,0.16059308010249987,-0.2739360501291869,-0.4933549721023198,-0.23414944874252777,0.0,0.0,0.0,0.0,-0.07616392770215681,-0.21523650151172877,-0.5367457301864185,0.0,0.0,0.0,-0.3667042064282817,0.0,0.0,0.0,0.0,0.0,-0.00959586807786256,-0.2956297959134716,0.0,0.0,0.11659860157580289,0.13749309249349692,-0.4562453442671481,0.0,0.0,0.0,0.0,0.007364470682947437,-0.3937867298069433,-0.04315196464849565,0.0,-0.059523058987138035,-0.3181511049149396,0.0,-0.02639466065566566,-0.25385127759129666,0.0,0.04193465504282251,-0.16108852820227035,0.0,0.07777433153603487,-0.19686944205712825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34199591631263293,0.0,0.024629931423276342,-0.5906923096888456,-0.6617713228674238,-1.0,-0.14380478753867637,0.18589726559633948,0.0,0.0,-0.7689244204003745,-0.10960407384182626,-0.09282076562587979,0.09665050141588814,-0.12651834914277915,-0.17865774859046882,-0.4235266662892721
0.0,0.7387557958199891,0.16519379158035108,0.4446089336123516,-0.6615267618819746,-0.04315196464849565,0.0,0.0,0.0,-0.3937867298069433,0.0,0.0,-0.17865774859046882,-1.0,-0.3667042064282817,0.2173831745363812,0.0,0.0,0.0,-0.16453938226711773,0.13749309249349692,0.0,-0.5906923096888456,0.0,0.0,-0.23414944874252777,0.059524386809821035,0.11659860157580289,0.0,0.024629931423276342,0.007364470682947437,-0.02639466065566566,0.0,-0.10960407384182626,0.0,0.0,0.0,0.0,-0.16108852820227035,0.0,-0.3181511049149396,0.0,0.0,0.0,0.0,-0.7689244204003745,0.0,0.0,0.0,0.0,-0.4235266662892721,0.0,-0.4562453442671481,-0.25385127759129666,-0.5367457301864185,-0.4933549721023198,-0.6617713228674238,-0.059523058987138035,-0.2956297959134716,0.0,0.0,-0.00959586807786256,-0.21523650151172877,0.18589726559633948,-0.07616392770215681,0.0,0.0,0.0,0.0,0.07777433153603487,-0.19686944205712825,-0.09282076562587979,-0.2739360501291869,0.0,0.0,0.0,0.0,-0.34199591631263293,0.0,0.0
0.0,0.03387783207533811,-0.566492274150393,1.0,0.7387557958199891,0.0,0.0,0.0,0.0,0.0,0.059524386809821035,-0.09282076562587979,-0.2739360501291869,-0.19686944205712825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7689244204003745,-0.5906923096888456,0.0,0.0,-0.16108852820227035,-0.4235266662892721,0.0,0.0,-0.07616392770215681,0.18589726559633948,-0.21523650151172877,0.0,-0.3667042064282817,-0.17865774859046882,0.0,0.0,0.0,-0.04315196464849565,0.0,0.09665050141588814,-0.6617713228674238,-0.10960407384182626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11659860157580289,0.0,0.024629931423276342,-0.02639466065566566,-0.2956297959134716,-0.34199591631263293,-0.23414944874252777,-0.12651834914277915,-0.00959586807786256,-1.0,0.0,0.0,-0.4933549721023198,0.0,0.0,-0.059523058987138035,0.04193465504282251,-0.5367457301864185,-0.3937867298069433,-0.4562453442671481,-0.3181511049149396,0.13749309249349692,-0.25385127759129666,0.0,0.0,0.0,0.0,0.07777433153603487,0.0,0.0
-0.821856378588163,0.2738224194985203,0.0,1.0,0.6324918788527771,0.0,-0.19686944205712825,-0.23414944874252777,0.0,0.0,0.0,-0.00959586807786256,-0.3667042064282817,-0.34199591631263293,-0.16108852820227035,0.0,-0.2956297959134716,0.0,0.0,-0.3301381395314741,0.0,0.0,-0.4235266662892721,0.0,0.03203166757332493,-0.4562453442671481,0.0,0.0,-0.12651834914277915,0.0,-0.07616392770215681,-0.3937867298069433,0.0,0.0,0.0,0.007364470682947437,0.0,0.0,0.0,0.0,0.0,0.0,-0.6617713228674238,0.04193465504282251,0.0,0.18589726559633948,-0.5906923096888456,-0.10960407384182626,-0.059523058987138035,0.16059308010249987,-0.02639466065566566,0.0,0.0,-0.14380478753867637,-0.04315196464849565,0.09665050141588814,-0.21523650151172877,0.07777433153603487,-0.5367457301864185,-0.3181511049149396,0.0,-0.2739360501291869,0.0,0.0,0.0,0.0,0.0,-1.0,-0.7689244204003745,0.0,0.0,0.11659860157580289,0.0,0.0,0.0,-0.4933549721023198,-0.09282076562587979,0.0,0.0,0.0
-0.27381631128574885,0.7387557958199891,0.856340675528805,0.0,0.0,0.0,0.0,0.0,0.0,-0.04315196464849565,-0.21523650151172877,0.11659860157580289,0.0,0.0,0.04193465504282251,-0.17865774859046882,0.0,0.0,0.13749309249349692,0.0,0.0,-0.4933549721023198,-0.7689244204003745,-0.4562453442671481,0.0,-0.19686944205712825,0.007364470682947437,0.0,-0.07616392770215681,-0.3937867298069433,0.0,0.0,0.0,-1.0,-0.14380478753867637,0.0,0.09665050141588814,0.0,-0.2956297959134716,-0.12651834914277915,-0.25385127759129666,-0.6617713228674238,-0.2739360501291869,-0.34199591631263293,0.0,-0.02639466065566566,0.07777433153603487,0.0,0.0,0.18589726559633948,0.0,0.0,0.0,0.0,-0.3667042064282817,-0.5906923096888456,0.0,-0.3181511049149396,0.0,0.059524386809821035,0.0,0.0,0.0,0.024629931423276342,0.0,0.0,-0.00959586807786256,-0.23414944874252777,-0.09282076562587979,-0.10960407384182626,-0.16108852820227035,0.0,0.0,0.0,0.0,-0.4235266662892721,-0.5367457301864185,0.0,0.0,0.0
